ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
HUDSON PLAIN,2005,0.1136,0.0864
MARINE WEST COAST FOREST,2005,0.0048,0.0032
MIXED WOOD SHIELD,2005,0.0,0.0
Montane Boreal,2005,0.3536,0.4768
Montane Sub-Arctic,2005,0.0496,0.1648
Montane Sub-Boreal,2005,0.2688,0.3792
NORTHERN ARCTIC,2005,0.0,0.0
Northern Taiga,2005,0.2848,0.5776
SOFTWOOD SHIELD,2005,0.4,0.3472
SOUTHERN ARCTIC,2005,0.0,0.0
Southern Taiga,2005,0.0304,0.0704
TAIGA CORDILLERA,2005,0.0272,0.1216
TAIGA PLAIN,2005,0.0544,0.0832
TAIGA SHIELD,2005,0.1904,0.1168
TEMPERATE PRAIRIES,2005,0.0,0.0
WATER,2005,0.0,0.0
WESTERN CORDILLERA,2005,0.0,0.0
Wetlands,2005,0.0464,0.1232
ALASKA BOREAL INTERIOR,2006,0.0,0.0208
ALASKA TUNDRA,2006,0.0,0.0
ARCTIC CORDILLERA,2006,0.0,0.0
Arctic Deserts and Tundra,2006,0.0,0.0
BOREAL CORDILLERA,2006,0.0288,0.0064
BOREAL PLAIN,2006,0.1024,0.0864
BROOKS RANGE TUNDRA,2006,0.0,0.0
Central Taiga,2006,0.7104,0.7648
Forest Tundra,2006,0.0144,0.0224
HUDSON PLAIN,2006,0.0048,0.0016
MARINE WEST COAST FOREST,2006,0.0,0.0
MIXED WOOD SHIELD,2006,0.0,0.0
Montane Boreal,2006,0.304,0.4832
Montane Sub-Arctic,2006,0.024,0.032
Montane Sub-Boreal,2006,0.2128,0.368
NORTHERN ARCTIC,2006,0.0,0.0
Northern Taiga,2006,0.0816,0.1008
SOFTWOOD SHIELD,2006,0.7776,0.6624
SOUTHERN ARCTIC,2006,0.0,0.0
Southern Taiga,2006,0.2384,0.4384
TAIGA CORDILLERA,2006,0.0048,0.0
TAIGA PLAIN,2006,0.0016,0.0
TAIGA SHIELD,2006,0.08,0.0624
TEMPERATE PRAIRIES,2006,0.0,0.0
WATER,2006,0.0,0.0
WESTERN CORDILLERA,2006,0.0,0.0
Wetlands,2006,0.0272,0.1968
ALASKA BOREAL INTERIOR,2007,0.0176,0.0128
ALASKA TUNDRA,2007,0.0736,0.0928
ARCTIC CORDILLERA,2007,0.0,0.0
Arctic Deserts and Tundra,2007,0.0,0.0
BOREAL CORDILLERA,2007,0.0016,0.0112
BOREAL PLAIN,2007,0.0144,0.0064
BROOKS RANGE TUNDRA,2007,0.0,0.0
Central Taiga,2007,0.0336,0.0496
Forest Tundra,2007,0.0,0.0016
HUDSON PLAIN,2007,0.0,0.0
MARINE WEST COAST FOREST,2007,0.0,0.0048
MIXED WOOD SHIELD,2007,0.0,0.0
Montane Boreal,2007,0.2864,0.5472
Montane Sub-Arctic,2007,0.0832,0.08
