ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
TAIGA CORDILLERA,2022,0.0032,0.0032
TAIGA PLAIN,2022,0.0928,0.1344
TAIGA SHIELD,2022,0.0672,0.0896
TEMPERATE PRAIRIES,2022,0.0,0.0
WATER,2022,0.0,0.0
WESTERN CORDILLERA,2022,0.0,0.0
Wetlands,2022,0.0224,0.0272
ALASKA BOREAL INTERIOR,2023,0.0464,0.0
ALASKA TUNDRA,2023,0.0,0.0
ARCTIC CORDILLERA,2023,0.0,0.0
Arctic Deserts and Tundra,2023,0.0,0.0
BOREAL CORDILLERA,2023,0.0656,0.0
BOREAL PLAIN,2023,0.2032,0.0
BROOKS RANGE TUNDRA,2023,0.0,0.0
Central Taiga,2023,0.4896,0.0
Forest Tundra,2023,0.0,0.0
HUDSON PLAIN,2023,0.4,0.0
MARINE WEST COAST FOREST,2023,0.0,0.0
MIXED WOOD SHIELD,2023,0.0,0.0
Montane Boreal,2023,0.9184,0.0
Montane Sub-Arctic,2023,0.368,0.0
Montane Sub-Boreal,2023,0.0192,0.0
NORTHERN ARCTIC,2023,0.0,0.0
Northern Taiga,2023,0.0224,0.0
SOFTWOOD SHIELD,2023,1.6128,0.0
SOUTHERN ARCTIC,2023,0.0064,0.0
Southern Taiga,2023,0.064,0.0
TAIGA CORDILLERA,2023,0.0224,0.0
TAIGA PLAIN,2023,2.8592,0.0
TAIGA SHIELD,2023,3.1424,0.0
TEMPERATE PRAIRIES,2023,0.0,0.0
WATER,2023,0.0,0.0
WESTERN CORDILLERA,2023,0.0,0.0
Wetlands,2023,0.0544,0.0
ALASKA BOREAL INTERIOR,2024,0.0576,0.0
ALASKA TUNDRA,2024,0.0,0.0
ARCTIC CORDILLERA,2024,0.0016,0.0
Arctic Deserts and Tundra,2024,0.0,0.0
BOREAL CORDILLERA,2024,0.0048,0.0
BOREAL PLAIN,2024,0.1952,0.0
BROOKS RANGE TUNDRA,2024,0.0,0.0
Central Taiga,2024,0.6928,0.0
Forest Tundra,2024,0.0,0.0
HUDSON PLAIN,2024,0.0048,0.0
MARINE WEST COAST FOREST,2024,0.0,0.0
MIXED WOOD SHIELD,2024,0.0,0.0
Montane Boreal,2024,1.7536,0.0
Montane Sub-Arctic,2024,0.4576,0.0
Montane Sub-Boreal,2024,0.2608,0.0
NORTHERN ARCTIC,2024,0.0,0.0
Northern Taiga,2024,0.0048,0.0
SOFTWOOD SHIELD,2024,0.224,0.0
SOUTHERN ARCTIC,2024,0.0,0.0
Southern Taiga,2024,0.0064,0.0
TAIGA CORDILLERA,2024,0.008,0.0
TAIGA PLAIN,2024,0.4864,0.0
TAIGA SHIELD,2024,0.096,0.0
TEMPERATE PRAIRIES,2024,0.0,0.0
WATER,2024,0.0,0.0
WESTERN CORDILLERA,2024,0.0,0.0
Wetlands,2024,0.1664,0.0
ALASKA BOREAL INTERIOR,2025,0.0576,0.0
ALASKA TUNDRA,2025,0.0,0.0
ARCTIC CORDILLERA,2025,0.0,0.0
Arctic Deserts and Tundra,2025,0.0,0.0
BOREAL CORDILLERA,2025,0.0144,0.0
BOREAL PLAIN,2025,0.416,0.0
BROOKS RANGE TUNDRA,2025,0.0,0.0
Central Taiga,2025,0.0208,0.0
Forest Tundra,2025,0.0,0.0
HUDSON PLAIN,2025,0.0,0.0
MARINE WEST COAST FOREST,2025,0.0,0.0
MIXED WOOD SHIELD,2025,0.0,0.0
Montane Boreal,2025,1.1968,0.0
Montane Sub-Arctic,2025,0.0176,0.0
Montane Sub-Boreal,2025,0.7216,0.0
NORTHERN ARCTIC,2025,0.0,0.0
Northern Taiga,2025,0.0032,0.0
SOFTWOOD SHIELD,2025,1.024,0.0
SOUTHERN ARCTIC,2025,0.0,0.0
Southern Taiga,2025,0.0032,0.0
TAIGA CORDILLERA,2025,0.0112,0.0
TAIGA PLAIN,2025,0.2704,0.0
TAIGA SHIELD,2025,0.0656,0.0
TEMPERATE PRAIRIES,2025,0.0,0.0
WATER,2025,0.0,0.0
WESTERN CORDILLERA,2025,0.0,0.0
Wetlands,2025,0.0048,0.0
